성별,연령대별,사망원인 순위,사망원인,사망자수(명),사망률(십만명당)
성별,연령대별,사망원인 순위,사망원인,사망자수(명),사망률(십만명당)
계,전체,1위,악성신생물,88933,174
계,전체,2위,심장 질환,33539,66
계,전체,3위,폐렴,30103,59
계,전체,4위,뇌혈관 질환,24612,48
계,전체,5위,고의적 자해(자살),14872,29
계,전체,6위,알쯔하이머병,12223,24
계,전체,7위,당뇨병,11064,22
계,전체,8위,고혈압성 질환,8229,16
계,전체,9위,간의 질환,7787,15
계,전체,10위,패혈증,7730,15
계,0세,1위,출생전후기에 기원한 특정 병태,255,111
계,0세,2위,선천 기형 변형 및 염색체 이상,104,45
계,0세,3위,영아 급사 증후군,47,20
계,0세,4위,가해(타살),12,5
계,0세,5위,심장 질환,9,4
계,0세,6위,악성신생물,7,3
계,0세,7위,폐렴,6,3
계,0세,8위,나머지 특정 감염성 및 기생충성 질환,3,1
계,0세,9위,뇌혈관 질환,3,1
계,0세,10위,기타 급성 하기도 감염,3,1
계,1-9세,1위,악성신생물,53,2
계,1-9세,2위,선천 기형 변형 및 염색체 이상,29,1
계,1-9세,3위,가해(타살),23,1
계,1-9세,4위,운수 사고,19,1
계,1-9세,5위,심장 질환,15,1
계,1-9세,6위,불의의 물에 빠짐(익사),10,0
계,1-9세,7위,폐렴,7,0
계,1-9세,8위,출생전후기에 기원한 특정 병태,6,0
계,1-9세,9위,추락,5,0
계,1-9세,10위,뇌혈관 질환,4,0
계,10-19세,1위,고의적 자해(자살),372,8
계,10-19세,2위,악성신생물,91,2
계,10-19세,3위,운수 사고,66,1
계,10-19세,4위,심장 질환,22,1
계,10-19세,5위,선천 기형 변형 및 염색체 이상,22,1
계,10-19세,6위,불의의 물에 빠짐(익사),11,0
계,10-19세,7위,가해(타살),11,0
계,10-19세,8위,뇌혈관 질환,9,0
계,10-19세,9위,폐렴,8,0
계,10-19세,10위,패혈증,6,0
계,20-29세,1위,고의적 자해(자살),1366,23
계,20-29세,2위,악성신생물,274,5
계,20-29세,3위,운수 사고,188,3
계,20-29세,4위,심장 질환,54,1
계,20-29세,5위,뇌혈관 질환,44,1
계,20-29세,6위,추락,29,1
계,20-29세,7위,간의 질환,26,0
계,20-29세,8위,폐렴,25,0
계,20-29세,9위,당뇨병,24,0
계,20-29세,10위,가해(타살),23,0
계,30-39세,1위,고의적 자해(자살),1995,30
계,30-39세,2위,악성신생물,680,10
계,30-39세,3위,심장 질환,242,4
계,30-39세,4위,간의 질환,207,3
계,30-39세,5위,운수 사고,192,3
계,30-39세,6위,뇌혈관 질환,172,3
계,30-39세,7위,당뇨병,84,1
계,30-39세,8위,폐렴,50,1
계,30-39세,9위,추락,42,1
계,30-39세,10위,유독성 물질에 의한 불의의 중독 및 노출 ,27,0
계,40-49세,1위,고의적 자해(자살),2817,36
계,40-49세,2위,악성신생물,2659,34
계,40-49세,3위,간의 질환,946,12
계,40-49세,4위,심장 질환,750,10
계,40-49세,5위,뇌혈관 질환,572,7
계,40-49세,6위,운수 사고,289,4
계,40-49세,7위,당뇨병,213,3
계,40-49세,8위,폐렴,163,2
계,40-49세,9위,정신활성 물질 사용에 의한 정신 및 행동 장애 ,133,2
계,40-49세,10위,추락,109,1
계,50-59세,1위,악성신생물,8916,103
계,50-59세,2위,고의적 자해(자살),3151,37
계,50-59세,3위,심장 질환,2088,24
계,50-59세,4위,간의 질환,2052,24
계,50-59세,5위,뇌혈관 질환,1475,17
계,50-59세,6위,당뇨병,765,9
계,50-59세,7위,폐렴,512,6
계,50-59세,8위,운수 사고,484,6
계,50-59세,9위,추락,369,4
계,50-59세,10위,정신활성 물질 사용에 의한 정신 및 행동 장애 ,315,4
계,60-69세,1위,악성신생물,19743,257
계,60-69세,2위,심장 질환,3997,52
계,60-69세,3위,뇌혈관 질환,3004,39
계,60-69세,4위,고의적 자해(자살),2449,32
계,60-69세,5위,간의 질환,2000,26
계,60-69세,6위,폐렴,1730,23
계,60-69세,7위,당뇨병,1632,21
계,60-69세,8위,운수 사고,803,11
계,60-69세,9위,추락,587,8
계,60-69세,10위,패혈증,537,7
계,70-79세,1위,악성신생물,24960,614
계,70-79세,2위,심장 질환,5949,146
계,70-79세,3위,뇌혈관 질환,5152,127
계,70-79세,4위,폐렴,4797,118
계,70-79세,5위,당뇨병,2481,61
계,70-79세,6위,고의적 자해(자살),1448,36
계,70-79세,7위,만성 하기도 질환,1418,35
계,70-79세,8위,패혈증,1342,33
계,70-79세,9위,알쯔하이머병,1193,29
계,70-79세,10위,간의 질환,1193,29
계,80세 이상,1위,악성신생물,31547,1320
계,80세 이상,2위,폐렴,22797,954
계,80세 이상,3위,심장 질환,20411,854
계,80세 이상,4위,뇌혈관 질환,14175,593
계,80세 이상,5위,알쯔하이머병,10622,444
계,80세 이상,6위,고혈압성 질환,6431,269
계,80세 이상,7위,당뇨병,5860,245
계,80세 이상,8위,패혈증,5569,233
계,80세 이상,9위,만성 하기도 질환,4263,178
계,80세 이상,10위,코로나19,2316,97
계,15세 미만,1위,출생전후기에 기원한 특정 병태,261,5
계,15세 미만,2위,선천 기형 변형 및 염색체 이상,148,3
계,15세 미만,3위,악성신생물,101,2
