행정구역,총인구수,연령구간인구수,0~9세,10~19세,20~29세,30~39세,40~49세,50~59세,60~69세,70~79세,80~89세,90~99세,100세 이상
서울특별시 노원구 (1135000000),"479,965","479,965","22,615","43,861","60,148","61,190","67,889","82,402","71,913","45,604","20,695","3,565",83
서울특별시 노원구 월계1동(1135056000),"20,079","20,079",754,"1,393","3,602","2,436","2,501","3,177","2,985","2,141",972,115,3
서울특별시 노원구 월계2동(1135057000),"24,536","24,536","1,082","1,860","2,427","2,633","3,436","4,156","4,292","3,103","1,315",227,5
서울특별시 노원구 월계3동(1135058000),"27,568","27,568","1,497","1,684","2,681","4,429","3,768","4,292","4,355","3,197","1,421",239,5
서울특별시 노원구 공릉1동(1135059500),"35,051","35,051","1,193","2,362","6,395","4,837","4,526","5,192","5,370","3,528","1,448",198,2
서울특별시 노원구 공릉2동(1135060000),"40,567","40,567","2,525","4,048","6,645","5,387","6,073","6,366","5,065","2,979","1,264",214,1
서울특별시 노원구 하계1동(1135061100),"25,384","25,384",795,"2,722","4,291","2,744","2,889","4,500","3,883","2,300","1,044",208,8
서울특별시 노원구 하계2동(1135061200),"19,431","19,431","1,076","2,184","2,167","2,474","3,046","3,453","2,846","1,412",642,130,1
서울특별시 노원구 중계본동(1135061900),"21,927","21,927","1,019","3,934","2,587","1,652","3,932","4,404","2,600","1,165",523,109,2
서울특별시 노원구 중계1동(1135062100),"25,728","25,728","1,596","5,051","2,450","1,865","5,481","4,810","2,594","1,206",578,95,2
서울특별시 노원구 중계4동(1135062400),"18,466","18,466",760,"1,812","2,028","1,805","2,534","3,512","2,779","2,035","1,025",171,5
서울특별시 노원구 중계2.3동(1135062500),"31,074","31,074","1,255","2,339","3,194","3,940","4,102","5,319","4,872","3,721","1,983",343,6
서울특별시 노원구 상계1동(1135063000),"35,735","35,735","1,505","2,693","4,024","4,305","4,610","6,261","6,471","3,893","1,686",279,8
서울특별시 노원구 상계2동(1135064000),"18,472","18,472",575,"1,405","2,575","2,188","2,214","3,512","3,219","1,826",813,142,3
서울특별시 노원구 상계3.4동(1135066500),"26,340","26,340","1,117","2,021","2,763","2,682","3,398","4,805","4,683","3,100","1,567",198,6
서울특별시 노원구 상계5동(1135067000),"21,909","21,909",636,"1,511","2,486","2,481","2,594","4,110","3,980","2,554","1,306",244,7
서울특별시 노원구 상계6.7동(1135069500),"30,027","30,027","1,554","2,315","3,559","4,917","4,235","5,237","4,278","2,556","1,116",251,9
서울특별시 노원구 상계8동(1135070000),"21,131","21,131","1,767","1,573","2,160","4,749","3,293","2,950","2,251","1,605",660,121,2
서울특별시 노원구 상계9동(1135071000),"18,829","18,829",882,"1,539","2,078","2,710","2,656","3,342","2,829","1,861",774,152,6
서울특별시 노원구 상계10동(1135072000),"17,711","17,711","1,027","1,415","2,036","2,956","2,601","3,004","2,561","1,422",558,129,2
